GENUS;SPECIES;SPECNO;FULL_SPECIES;JAAR;BRON;HER_COOR;AMERSX;AMERSY;HOKX;X_Round;Y_Round;X_Y_COOR;check
Lasioglossum;villosulum;697;Lasioglossum_villosulum;2003;2;3;14,8;377,5;1;14;377;14377;0
Megachile;centuncularis;746;Megachile_centuncularis;2006;2;3;14;377;1;14;377;14377;0
Megachile;leachella;749;Megachile_leachella;2003;3;3;14;377;1;14;377;14377;0
Megachile;maritima;751;Megachile_maritima;2003;2;3;14;377;1;14;377;14377;0
Melitta;tricincta;780;Melitta_tricincta;2006;3;3;14;377;1;14;377;14377;0
Nomada;flava;556;Nomada_flava;2007;3;3;14;377;1;14;377;14377;0
Nomada;fucata;559;Nomada_fucata;2004;2;3;14;377;1;14;377;14377;0
Nomada;panzeri;573;Nomada_panzeri;2007;3;3;14;377;1;14;377;14377;0
Nomada;signata;580;Nomada_signata;2007;2;3;14;377;1;14;377;14377;0
Osmia;rufa;763;Osmia_rufa;2007;2;3;14;377;1;14;377;14377;0
Sphecodes;monilicornis;709;Sphecodes_monilicornis;2004;3;3;14;377;1;14;377;14377;0
Stelis;ornatula;769;Stelis_ornatula;2003;2;3;14;377;1;14;377;14377;0
Colletes;halophilus;620;Colletes_halophilus;2012;2;3;14,7;397,3;0,1;14;397;14397;0
Andrena;carantonica;459;Andrena_carantonica;2005;2;3;15;365;1;15;365;15365;0
Andrena;proxima;504;Andrena_proxima;2005;2;3;15;365;1;15;365;15365;0
Andrena;subopaca;513;Andrena_subopaca;2005;3;3;15;365;1;15;365;15365;0
Andrena;vaga;518;Andrena_vaga;2005;2;3;15;365;1;15;365;15365;0
Anthophora;plumipes;530;Anthophora_plumipes;2003;2;3;15;365;1;15;365;15365;0
Nomada;flava;556;Nomada_flava;2005;2;3;15;365;1;15;365;15365;0
Nomada;marshamella;568;Nomada_marshamella;2005;2;3;15;365;1;15;365;15365;0
Nomada;ruficornis;548;Nomada_ruficornis;2005;2;3;15;365;1;15;365;15365;0
Sphecodes;monilicornis;709;Sphecodes_monilicornis;2005;2;3;15;365;1;15;365;15365;0
Andrena;carantonica;459;Andrena_carantonica;2007;3;3;15;374;1;15;374;15374;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2007;3;3;15;374;1;15;374;15374;0
Andrena;proxima;504;Andrena_proxima;2007;3;3;15;374;1;15;374;15374;0
Andrena;subopaca;513;Andrena_subopaca;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Bombus;lapidarius;596;Bombus_lapidarius;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Bombus;norvegicus;613;Bombus_norvegicus;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Bombus;pascuorum;600;Bombus_pascuorum;2011;2;3;15,5;374,3;0,1;15;374;15374;0
Bombus;pratorum;602;Bombus_pratorum;2011;2;3;15,5;374,3;0,1;15;374;15374;0
