"GENUS" "SPECIES" "SPECNO" "FULL_SPECIES" "X_Round" "Y_Round" "X_Y_COOR" "X_ArcGIS" "Y_ArcGIS" "Heriades_truncorum" "Lasioglossum_sexstrigatum" "Osmia_rufa" "Apis_mellifera" "Bombus_pascuorum" "Bombus_terrestris" "Bombus_pratorum" "Andrena_haemorrhoa" "Andrena_nitida" "Anthophora_plumipes" "Bombus_lapidarius" "Lasioglossum_calceatum" "Bombus_lucorum" "Dasypoda_hirtipes" "Lasioglossum_morio" "Andrena_cineraria" "Andrena_dorsata" "Andrena_flavipes" "Colletes_fodiens" "Halictus_rubicundus" "Halictus_tumulorum" "Hylaeus_communis" "Hylaeus_confusus" "Hylaeus_hyalinatus" "Lasioglossum_leucozonium" "Lasioglossum_villosulum" "Megachile_centuncularis" "Nomada_flava" "Nomada_fucata" "Sphecodes_monilicornis" "Andrena_carantonica" "Andrena_subopaca" "Andrena_vaga" "Nomada_marshamella" "Nomada_ruficornis" "Andrena_barbilabris" "Bombus_hypnorum" "Andrena_bicolor" "Bombus_campestris" "Bombus_hortorum" "Colletes_daviesanus" "Megachile_willughbiella" "Sphecodes_albilabris" "Andrena_chrysosceles" "Andrena_clarkella" "Andrena_ventralis" "Andrena_fulva" "Anthidium_manicatum" "Colletes_cunicularius" "Lasioglossum_pauxillum" "Nomada_flavoguttata" "Nomada_succincta" "Sphecodes_pellucidus" "Macropis_europaea" "Nomada_fabriciana" "Nomada_goodeniana" "Andrena_minutula" "Nomada_alboguttata" "Nomada_lathburiana" "Panurgus_calcaratus"
"Heriades" "truncorum" 734 "Heriades_truncorum" 109 402 109402 109500 402500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 110 403 110403 110500 403500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 110 404 110404 110500 404500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 112 404 112404 112500 404500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 121 411 121411 121500 411500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 122 398 122398 122500 398500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 127 406 127406 127500 406500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 128 402 128402 128500 402500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 135 405 135405 135500 405500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 137 460 137460 137500 460500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 140 404 140404 140500 404500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 142 461 142461 142500 461500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 142 462 142462 142500 462500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 143 454 143454 143500 454500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 143 460 143460 143500 460500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 146 451 146451 146500 451500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Heriades" "truncorum" 734 "Heriades_truncorum" 147 380 147380 147500 380500 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
