"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "ED_total_6Classes" "Suitability" "ED_total_ManNat" "NumClasses_VEG_LU" "Mean_Patch_areaKm2_Veg_LU" "LUVEG_1" "LUVEG_2" "LUVEG_3" "LUVEG_4" "LUVEG_5" "LUVEG_6" "LUVEG_7" "LUVEG_8" "LUVEG_20" "LUVEG_30" "LUVEG_60"
100412 100500 412500.000000006 0.0332 82.5625 0.042093023255814 10 0.398517518939394 0 1.25 4.8125 0.0625 1.4375 2.6875 8.4375 0.375 0 66.75 8.5625
100413 100500 413499.999999997 0.004 100 NA 1 1 0 0 0 0 0 0 0 0 0 100 0
100414 100500 414500.000000001 0.0204 90.0625 0.0172384937238494 11 0.281437545093795 0.25 1.1875 0.3125 2 0.375 1.75 8.375 0.25 45.1875 39.9375 0.375
100415 100500 415500.000000006 0.01175 91.9375 0.00700507614213198 9 0.909360119047619 0.25 0.5 0 0.1875 0 6.9375 0.375 1.375 88.8125 0.625 0.9375
100416 100500 416499.999999997 0.01415 61.0625 0.00495262160454833 10 0.294435668498169 0 1.1875 0.1875 0.0625 0.5 35.8125 1.375 1.125 58.6875 0 0.875
100417 100500 417500.000000002 0.03085 89.0625 0.0162352941176471 11 0.274494791666667 0 0.75 1 0.3125 0.1875 6.5625 2.875 0.375 72.9375 1.0625 12.75
100418 100500 418500.000000006 0.03425 88.4375 0.0177974870657798 11 0.158459210526316 0 2.25 0.625 0.9375 0.5 6.875 2.5625 0.3125 70.0625 3.125 12.6875
100419 100500 419499.999999997 0.01955 90 0.0078815196394076 10 0.878070481601732 0 0.75 0.3125 0.125 0.3125 5.625 3.625 0.1875 85.625 3.375 0.0625
100420 100500 420500.000000002 0.022 79.5625 0.00938694792353329 11 0.76735962995338 0 0.8125 0.5625 1.0625 0.375 14.875 4.125 0.3125 72.4375 0.3125 4.75
100421 100500 421500.000000006 0.01785 97 0.00959568733153639 10 0.512399553571429 0 0.6875 0.3125 0.0625 0.9375 1.625 0.625 0.125 88.3125 1.8125 5.5
100422 100500 422499.999999997 0.01495 96.0625 0.00514826498422713 10 0.953768028846154 0 1.75 0.0625 0.875 0.8125 3.1875 0.4375 0.5625 91.3125 0.0625 0.9375
100423 100500 423500.000000002 0.01595 28.5 0.00516290726817043 8 0.781257440476191 0.375 0.4375 0.0625 0 0 63.0625 2.875 1.0625 27.25 4.875 0
100424 100500 424500.000000007 0.0471 69 0.0345476477683957 11 0.0686967836850649 6.875 1.1875 3.5625 1.9375 0.625 7.625 28.0625 1.125 0 31 13.9375
100425 100500 425499.999999997 0.067 67.1875 0.0595720399429387 12 0.115741320583517 0.0625 2.625 3.75 2.25 2.75 7.375 13.75 0.375 10.25 7.75 46.9375
100426 100500 426500.000000002 0.0585 43.0625 0.0205663189269747 12 0.105862797619048 0.125 3.1875 2.75 1.5 0.9375 25.4375 16.625 1.1875 24.5 12.25 11.4375
100427 100500 427500.000000007 0.06055 63.375 0.0351587982832618 12 0.113179541843619 0.6875 5.1875 5.25 1.75 2.25 15 7.125 1.125 33 5.3125 23.1875
100428 100500 428499.999999997 0.04845 59.375 0.0177029096477795 11 0.0906949925155469 0 1.625 1.9375 0.5 1.8125 29.6875 6.1875 0.6875 38.25 2.25 13.5
100429 100500 429500.000000002 0.0619 65 0.0445292014302741 11 0.0674553646584897 0 1.125 2.5 3.4375 2.75 12.8125 12.9375 0.25 15.3125 9.4375 37.5
100430 100500 430500.000000007 0.06385 63.75 0.0674220963172805 11 0.170119144562955 0 2.75 2.25 10.0625 3.6875 4.5625 13.8125 0.0625 6.75 3.0625 52.75
100431 100500 431499.999999997 0.06745 65.1875 0.0774147217235188 10 0.135869989578323 0 1.25 4.6875 2.3125 3.625 3.25 18.3125 0.5625 0 2.75 61.0625
100432 100500 432500.000000002 0.07635 53.375 0.0705630026809651 10 0.120085704696671 0 2.6875 5.25 5.4375 5.375 11.8125 14.4375 0.9375 0 3 50.25
100433 100500 433500.000000007 0.0658 31.8125 0.036068237205524 11 0.0938504182880451 0 3.375 1.5625 14.6875 4.25 29.9375 12.75 0.875 7.9375 7.1875 17.1875
100434 100500 434499.999999997 0.03915 79.125 0.0514498141263941 11 0.0945550011701685 3.1875 0.8125 3.75 1 0.875 5 18.5625 0.25 0 54.875 11.125
100435 100500 435500.000000002 0.08065 41.4375 0.0633852544132918 11 0.037292085878532 0.125 2.25 5.875 1.5625 4.8125 13.1875 31.1875 0.3125 0 14.625 25.375
100436 100500 436500.000000007 0.0667 75.0625 0.105263157894737 10 0.176738180176821 0 1.6875 5.125 2.375 3.3125 0.5 11.4375 0.0625 0 8.5 66.3125
100437 100500 437499.999999998 0.07275 68.375 0.0877470355731225 10 0.0689702993465013 0 3.1875 4.125 3.4375 2.25 2.625 14.875 0.3125 0 21.4375 47.375
100438 100500 438500.000000002 0.08345 64.75 0.0981560283687943 10 0.0906733202609121 0 1.6875 3.75 4.1875 4.0625 2.875 18 0.0625 0 9 54.8125
100439 100500 439499.999999993 0.0985 38.5 0.0611764705882353 11 0.0406849809573781 0.0625 5.3125 7.1875 3.125 8.9375 11.375 24.4375 0.5625 0 10.5 28.375
100440 100500 440499.999999998 0.0756 55.625 0.0705352112676056 11 0.241942775771833 0.0625 3.8125 3.25 1.875 7.3125 13.1875 14.125 0.4375 0 11.375 44.0625
100441 100500 441500.000000003 0.07225 38.75 0.0440733197556008 11 0.0511225136448821 0 2.8125 5.125 0.875 3.25 32.125 16.5 0.3125 0.0625 4.875 31.25
100442 100500 442499.999999993 0.07465 27.4375 0.0292532188841202 11 0.061617849062702 0.1875 2.0625 4.0625 5.1875 2.3125 30.625 25.125 0.375 0 4.5 24.5625
100443 100500 443499.999999998 0.08245 31.5 0.0294010889292196 11 0.0400931136899382 0 1.1875 3.25 0.375 1.1875 33.0625 26.875 0.4375 0.375 5.25 22.5
100444 100500 444500.000000003 0.0722 31.125 0.0251905626134301 11 0.0472854289618403 0.0625 1.75 3.125 0.125 0.6875 15.1875 35.75 0.25 0 19.4375 19.125
100445 100500 445499.999999993 0.05525 44.3125 0.0168358208955224 11 0.112900219298246 0 0.625 1.125 0.25 0.9375 40.9375 7.1875 0.1875 26.25 9.5625 11.4375
100446 100500 446499.999999998 0.0413 54.875 0.0191945158526135 11 0.16078125 0 0.625 1.625 0.125 0.4375 36.875 5.75 0.125 26.6875 3.6875 16.25
100447 100500 447500.000000003 0.0711 76.125 0.0429473684210526 11 0.0917488533290919 0 1.4375 3.6875 0.0625 2.0625 6.375 10.8125 0.5625 27.9375 1.5 29.0625
100448 100500 448499.999999993 0.05745 79.0625 0.0423005565862709 11 0.0905528846153846 0 0.75 0.6875 0.25 0.1875 7.6875 5.5 0.5625 12.1875 6.75 22.375
100449 100500 449499.999999998 0.05865 83.6875 0.0442332613390929 10 0.104882984203297 0 0.9375 4.3125 0.3125 0.3125 4.1875 5.5625 0 11.875 2.5625 27.75
100450 100500 450500.000000003 0.0571 85.25 0.0783728813559322 11 0.0916506259639483 0 0.5625 1.625 0.0625 0.1875 4.8125 5.375 0.125 1.8125 2.9375 27.4375
100451 100500 451499.999999993 0.0227 90.25 0.00950384346610762 11 0.82549075311943 0 0.75 0.5625 0.0625 0.4375 6.3125 2.3125 0.3125 78.625 1.0625 5.9375
100452 100500 452499.999999998 0.0083 95.75 0.00518095238095238 8 0.48625 0 0.25 0 0.1875 0.1875 3.6875 0.375 0.0625 93.6875 0 1.5625
100453 100500 453500.000000003 0.022 57.8125 0.013864642631246 7 0.329088345864662 6.0625 0.25 5.75 0 0 15 15.0625 0 56.5 1.375 0
100454 100500 454499.999999994 0.02515 75.25 0.0119646498980286 10 0.281082589285714 2.6875 2 6.75 0.25 0.375 6.75 6.6875 0.375 66.0625 0 8.0625
100455 100500 455499.999999998 0.01055 73.875 0.00644155844155844 9 0.338854166666667 0 0.25 0.125 0.3125 0 25.75 0.25 0.0625 69.5 0.125 3.625
